;42;2.00;2.00;0.000001;0.00;0.00;0.00;0.00;0.00;0.00;
;43;1.00;1.00;1.00;0.000001;0.00;0.00;0.00;0.00;0.00;
;44;1.00;1.00;1.00;1.00;1.00;0.00;0.00;-2.00;-4.00;
;45;1.00;1.00;0.000001;0.000001;1.00;0.00;0.00;0.00;0.00;
;46;1.00;2.00;1.00;0.000001;1.00;0.00;0.00;0.00;0.00;
;47;2.00;1.00;2.00;0.000001;0.00;0.00;0.00;1.50;-3.00;
;48;1.00;2.00;1.00;2.00;1.00;0.00;0.00;0.00;0.00;
;49;1.00;2.00;1.00;1.00;1.00;0.00;0.00;0.00;0.00;
;50;1.00;1.00;0.00;1.00;0.00;0.00;0.00;-1.50;-3.00;
;51;2.00;2.00;1.00;1.00;0.00;0.00;0.00;-2.50;-5.00;
;52;1.00;1.00;1.00;1.00;0.00;0.00;0.00;-1.50;-3.00;
;53;1.00;1.00;1.00;1.00;0.00;0.00;0.00;-1.50;-3.00;
;54;1.00;1.00;1.00;1.00;0.000001;0.00;0.00;0.00;0.00;
;55;1.00;1.00;0.000001;0.000001;1.00;0.00;0.00;0.00;0.00;
;56;1.00;1.00;1.00;1.00;1.00;1.00;0.00;-2.50;-5.00;
;57;1.00;1.00;1.00;2.00;0.00;0.00;0.00;0.00;0.00;
;58;1.42;1.42;2.00;0.00;0.00;0.00;0.00;0.00;0.00;
;59;1.00;1.00;1.00;1.00;1.00;0.000001;0;0;0;
;60;2.00;2.00;1.00;1.00;0.00;0.00;0.00;-2.50;-5.00;
;61;1.00;1.00;1.00;1.00;0.00;0.000001;0;0;0;
;62;1.00;1.00;1.00;1.00;1.00;0.000001;0.00;0.00;0.00;
;63;2.00;3.00;2.00;0.00;0.00;0.00;0.00;-3.00;-6.00;
;64;1.00;1.00;1.00;2.00;1.00;1.00;0.00;-3.00;-6.00;
;65;1.00;1.00;1.00;1.00;1.00;1.00;0.00;-0.50;-1.00;
;66;1.00;1.00;1.00;1.00;0.000001;0.00;0.00;0.00;0.00;
;67;1.00;0.000001;0.000001;0.00;0.00;0.00;0.000001;0.00;0.00;
;68;1.00;0.000001;0.000001;1.00;0.00;0.00;0.000001;0.00;0.00;
;69;1.00;0.000001;0.000001;1.00;0.00;0.00;0.000001;0.00;0.00;
;70;1.00;0.000001;0.000001;1.00;1.00;0.00;0.000001;0.00;0.00;
;71;1.00;0.000001;0.000001;1.00;1.00;0.00;0.000001;0.00;0.00;
;72;1.00;0.000001;0.000001;1.00;1.00;0.00;0.000001;0.00;0.00;
;73;1.00;3.1416;3.1416;0.00;0.00;0.00;0.00;0.00;0.00;
;74;1.00;2.00;1.00;1.00;0.000001;0.00;0.00;-0.50;-1.00;
;75;3.14;1.00;0.00;0.00;0.00;0.00;0.00;0.00;-3.14;
;76;2.356;2.00;0.00;0.00;0.00;0.00;0.00;0.00;-3.14;
;77;0.000001;0.000001;0;3.14;0;0;0;0;0;
;78;1.00;0.000001;0.000001;1.00;0.00;0.00;0.000001;0.00;0.00;
;79;1.00;0.000001;0.000001;1.00;0.00;0.00;0.000001;0.00;0.00;
;80;1.00;0.000001;0.000001;1.00;1.00;0.00;0.000001;0.00;0.00;
;81;1.00;0.000001;0.000001;1.00;1.00;0.00;0.000001;0.00;0.00;
;82;1.00;0.000001;0.000001;1.00;0.00;0.00;0.000001;0.00;0.00;
;83;1.00;0.000001;0.000001;1.00;1.00;0.00;0.000001;0.00;0.00;
;84;2.00;2.00;3.14;1.57;0.00;0.00;0.00;-0.50;-1.00;
;85;1.00;2.00;1.00;1.00;1.00;0.000001;0.00;-0.50;-1.00;
;86;2.00;2.00;1.00;1.00;1.00;0.000001;0.00;-0.50;-1.00;
;87;1.00;1.00;1.00;1.00;0.00;0.00;0.00;-0.50;-1.00;
;88;1.00;1.00;1.00;1.00;1.00;0.00;0.00;-0.50;-1.00;
;89;1.00;1.00;1.00;0.00;0.00;0.00;0.00;-0.50;-1.00;
;90;2.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;
;91;2.00;2.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;
;92;2.00;2.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;
;93;6.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
;94;5.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
;95;1.00;1.00;1.00;1.00;0.000001;0.00;0.00;0.00;0.00;
;96;1.00;1.00;1.00;1.00;0.000001;0.00;0.00;0.00;0.00;
;97;1.00;1.00;1.00;1.00;0.000001;0.00;0.00;0.00;0.00;
;98;1.00;2.00;1.00;1.00;0.00;0.00;0.00;-2.00;-4.00;
